Title,URL,Category,Sub-Category,Skills,Rating,Organization
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,Computer Science,Software Development,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ",4.7,Coursera
"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,Computer Science,Design and Product,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ",4.8,Coursera
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Information Technology,Cloud Computing,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ",4.5,Coursera
Python for Everybody Specialization,https://www.coursera.org/specializations/python,Computer Science,Software Development,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ",4.8,Coursera
Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals,Information Technology,Cloud Computing,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ",4.8,Coursera
"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,Information Technology,Data Management,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ",4.6,Coursera
Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Data Science,Machine Learning,"Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ",4.6,Coursera
Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations,Business,Business Essentials,"Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ",4.7,Coursera
Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native,Computer Science,Mobile and Web Development,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ",4.8,Coursera
Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,Computer Science,Algorithms,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ",4.5,Coursera
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Business,Finance,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ",4.4,Coursera
AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,Data Science,Data Analysis,"Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ",4.7,Coursera
Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,Business,Finance,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ",4.5,Coursera
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Data Science,Machine Learning,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ",4.7,Coursera
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Business,Business Essentials,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ",4.5,Coursera
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Data Science,Data Analysis,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ",4.6,Coursera
Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel,Business,Business Essentials,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ",4.9,Coursera
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,Data Science,Data Analysis,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ",4.5,Coursera
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Business,Finance,"ESG, Investment, Climate Change, Finance, social activism, ",4.7,Coursera
AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton,Business,Leadership and Management,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ",4.7,Coursera
Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management,Computer Science,Design and Product,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ",4.8,Coursera
Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business,Business,Leadership and Management,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ",4.7,Coursera
Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design,Arts and Humanities,Music and Art,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ",4.7,Coursera
Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals,Information Technology,Security,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ",4.8,Coursera
Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english,Language Learning,Learning English,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ",4.8,Coursera
Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,Business,Entrepreneurship,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ",4.8,Coursera
Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Business,Business Essentials,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ",4.8,Coursera
Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,Data Science,Data Analysis,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",4.5,Coursera
Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,Business,Business Essentials,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ",4.8,Coursera
Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech,Business,Business Essentials,"Investment Management, Cryptocurrency, regulation, Blockchain, ",4.6,Coursera
Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals,Business,Business Essentials,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, ",4.7,Coursera
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Business,Marketing,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ",4.7,Coursera
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,Data Science,Machine Learning,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ",4.7,Coursera
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,Computer Science,Software Development,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ",4.4,Coursera
Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Business,Leadership and Management,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ",4.8,Coursera
IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning,Data Science,Data Analysis,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression, ",4.7,Coursera
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics,Business,Business Essentials,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design, ",4.7,Coursera
AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals,Information Technology,Cloud Computing,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex, ",4.6,Coursera
Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r,Data Science,Data Analysis,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ",4.6,Coursera
Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming,Computer Science,Software Development,"Json, Computer Programming, Python Programming, Sorting, ",4.7,Coursera
Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning,Data Science,Machine Learning,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems, ",4.8,Coursera
Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Computer Science,Algorithms,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP), ",4.7,Coursera
Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing,Business,Marketing,"Digital Marketing, Marketing, Pricing Strategies, Marketing Mix, Product Strategies, Data Collection, Analytics, Data Analysis, Data Visualization (DataViz), Marketing Analytics, Marketing Performance, Marketing Channel, ",4.6,Coursera
DevOps on AWS Specialization,https://www.coursera.org/specializations/aws-devops,Computer Science,Software Development,"Continuous Integration, Devops, Monitoring and Logging, Continuous Delivery, Microservices, AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, Test Automation, AWS cloud, ",4.7,Coursera
Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans,Data Science,Machine Learning,"Generator, Image-to-Image Translation, glossary of computer graphics, Discriminator, Generative Adversarial Networks, Controllable Generation, WGANs, Conditional Generation, Components of GANs, DCGANs, Bias in GANs, StyleGANs, ",4.7,Coursera
Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization,Data Science,Data Analysis,"Storyboarding, Map, Tableau Software, Data Visualization (DataViz), Data Virtualization, Visualization (Computer Graphics), Data Analysis, Visual Analytics, Interactive Visualization, ",4.5,Coursera
Certified in Cybersecurity Specialization,https://www.coursera.org/specializations/certified-in-cybersecurity,Information Technology,Security,"Cybersecurity, Network Security, security principles, Risk, Information Assurance, security, governance, Computer Security Incident Management, Business Continuity, Disaster Recovery, Logical Controls, administrative controls, ",4.6,Coursera
Business Strategy Specialization,https://www.coursera.org/specializations/business-strategy,Business,Business Strategy,"Strategic Analysis, Strategic Management, Strategic Thinking, Business Strategy, Capabilities Analysis, Competitive Position, Industry Structure, business competition, Mergers And Acquisitions (M&A), innovation strategy, growth strategy, Strategy Implementation, ",4.8,Coursera
Applied Data Science with Python Specialization,https://www.coursera.org/specializations/data-science-python,Data Science,Data Analysis,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",4.5,Coursera
Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management,Business,Business Strategy,"Performance Management, interviewing, Human Resources (HR), Onboarding, managing people, Resource Management, Hr Strategy, Recruiting, Recruitment, Performance Appraisal, Organizational Culture, Incentive, ",4.8,Coursera
Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success,Personal Development,Personal Development,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ",4.7,Coursera
Regulatory Compliance Specialization,https://www.coursera.org/specializations/regulatory-compliance,Business,Business Essentials,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, ",4.8,Coursera
"TESOL Certificate, Part 1: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol,Language Learning,Learning English,"Education, Online Learning, ",4.9,Coursera
Financial Engineering and Risk Management Specialization,https://www.coursera.org/specializations/financialengineering,Business,Finance,"Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps, ",4.5,Coursera
UI / UX Design Specialization,https://www.coursera.org/specializations/ui-ux-design,Arts and Humanities,Music and Art,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, ",4.7,Coursera
"Product Ideation, Design, and Management Specialization",https://www.coursera.org/specializations/product-ideation-design-and-management,Business,Marketing,"Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX), ",4.5,Coursera
Financial Analysis - Skills for Success Specialization,https://www.coursera.org/specializations/financial-analysis-skills-for-success,Business,Finance,"Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget, ",4.6,Coursera
Creative Writing Specialization,https://www.coursera.org/specializations/creative-writing,Arts and Humanities,Music and Art,"Short Story Writing, Fiction Writing, Creativity, Copy Editing, ",4.7,Coursera
Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/data-structures-algorithms,Computer Science,Algorithms,"Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory, ",4.6,Coursera
Software Product Management Specialization,https://www.coursera.org/specializations/product-management,Computer Science,Design and Product,"Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story, ",4.7,Coursera
Foundations of Management Specialization,https://www.coursera.org/specializations/foundations-management,Business,Leadership and Management,"Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management, ",4.7,Coursera
Genomic Data Science Specialization,https://www.coursera.org/specializations/genomic-data-science,Data Science,Data Analysis,"Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix, ",4.4,Coursera
Methods and Statistics in Social Sciences Specialization,https://www.coursera.org/specializations/social-science,Social Sciences,Governance and Society,"Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA), ",4.6,Coursera
"NoSQL, Big Data, and Spark Foundations Specialization",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations,Information Technology,Data Management,"Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML, ",4.3,Coursera
Think like a CFO Specialization,https://www.coursera.org/specializations/thinklikeacfo,Business,Finance,"Financial Accounting, Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Finance, Corporate Finance, Financial Risk, Evaluation, Investment, ",4.8,Coursera
TensorFlow: Advanced Techniques Specialization,https://www.coursera.org/specializations/tensorflow-advanced-techniques,Data Science,Machine Learning,"Model Interpretability, Custom Training Loops, Custom and Exotic Models, Generative Machine Learning, Object Detection, Functional API, Custom Layers, Custom and Exotic Models with Functional API, Custom Loss Functions, Distribution Strategies, Basic Tensor Functionality, GradientTape for Optimization, ",4.8,Coursera
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",https://www.coursera.org/specializations/gcp-data-machine-learning,Data Science,Machine Learning,"Tensorflow, Bigquery, Google Cloud Platform, Cloud Computing, ",4.6,Coursera
Mathematics for Machine Learning Specialization,https://www.coursera.org/specializations/mathematics-machine-learning,Data Science,Machine Learning,"Eigenvalues And Eigenvectors, Principal Component Analysis (PCA), Multivariable Calculus, Linear Algebra, Basis (Linear Algebra), Transformation Matrix, Linear Regression, Vector Calculus, Gradient Descent, Dimensionality Reduction, Python Programming, ",4.6,Coursera
Modern and Contemporary Art and Design Specialization,https://www.coursera.org/specializations/modern-contemporary-art-design,Arts and Humanities,Music and Art,"Photography, Design, Art, History, Museums, Creativity, Art History, Art Direction, ",4.8,Coursera
Agile Development Specialization,https://www.coursera.org/specializations/agile-development,Computer Science,Design and Product,"hypothesis-driven development, Design Thinking, User Experience (UX), agile, Lean Startup, agile user stories, User Experience Design (UXD), Agile Software Development, Product Management, Software Development, Usability Testing, Continuous Delivery, ",4.7,Coursera
Career Success Specialization,https://www.coursera.org/specializations/career-success,Business,Business Essentials,"Project Management, Information Technology (IT) Management, Communication, Negotiation, Leadership, Team Management, Task Management, Management, Planning, Plan, Accounting, Financial Ratio, ",4.6,Coursera
U.S. Federal Taxation Specialization,https://www.coursera.org/specializations/united-states-federal-taxation,Business,Business Essentials,"Depreciation, Federal Tax Returns, Tax Law, ",4.8,Coursera
The Business of Music Production Specialization,https://www.coursera.org/specializations/business-music-production,Arts and Humanities,Music and Art,"Copyright, Music production, Contracts, Pro Tools, Music recording, Music business, Revenue streams, Teambuilding, Audio Production, Music, Songwriting, Create music legally, ",4.9,Coursera
The Business of Health Care Specialization,https://www.coursera.org/specializations/healthcare-administration-management,Health,Healthcare Management,"Insurance, Health Economics, ",4.6,Coursera
Practical Data Science on the AWS Cloud Specialization,https://www.coursera.org/specializations/practical-data-science,Data Science,Machine Learning,"Natural Language Processing with BERT, ML Pipelines and ML Operations (MLOps), A/B Testing and Model Deployment, Data Labeling at Scale, Automated Machine Learning (AutoML), Statistical Data Bias Detection, Multi-class Classification with FastText and BlazingText, Data ingestion, Exploratory Data Analysis, ML Pipelines and MLOps, Model Training and Deployment with BERT, Model Debugging and Evaluation, ",4.6,Coursera
Risk Management Specialization,https://www.coursera.org/specializations/risk-management,Business,Finance,"Credit Risk Measurement and Management, Application of Financial Statistics and Probability, Market Risk Measurement and Management, Operational Risk Measurement and Management, Risk Management, Financial Risk, Leadership and Financial Risk Estimation and Management, Regulations, Credit Analysis, Financial Analysis, credit risk, Market Risk Management, ",4.7,Coursera
Music Production Specialization,https://www.coursera.org/specializations/music-production,Arts and Humanities,Music and Art,"Audio Recording, Music, Music production, Sound Design, Audio Editing, Audio Production, Songwriting, Music recording, MIDI, Pro Tools, music editing, Music mixing, ",4.8,Coursera
Google Cloud Database Engineer Specialization,https://www.coursera.org/specializations/google-cloud-database-engineer,Information Technology,Cloud Computing,"Cloud Platforms, Cloud Storage, Google Cloud Platform, Google Compute Engine, Google App Engine (GAE), Cloud Computing, MySQL, cloud sql, SQL Operations, Database (DBMS), Data Management, Postgresql, ",4.7,Coursera
Architecting with Google Compute Engine Specialization,https://www.coursera.org/specializations/gcp-architecture,Information Technology,Cloud Computing,"Google Compute Engine, Google App Engine (GAE), Google Cloud Platform, Cloud Computing, Virtual Machine, Network Architecture, Debugging, Cloud Storage, Data Store, Load Balancing, Virtual Private Network (VPN), Autoscaling, ",4.7,Coursera
Global Procurement and Sourcing Specialization,https://www.coursera.org/specializations/procurement-sourcing,Business,Leadership and Management,"Negotiation, Contracts, ",4.7,Coursera
Entrepreneurship: Growing Your Business Specialization,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,Business,Business Strategy,"Entrepreneurship, Leadership & Management, Innovation, Finance, HR Tech, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Leadership, Business Ethics, Ethical Leadership, ",4.8,Coursera
Six Sigma Yellow Belt Specialization,https://www.coursera.org/specializations/six-sigma-fundamentals,Business,Leadership and Management,"Project Management, Lean Six Sigma, Binomial Distribution, Six Sigma, Process Improvement, Lean Methods, Statistics, Data Analysis, Causality, ",4.7,Coursera
The DIY Musician Specialization,https://www.coursera.org/specializations/diy-musician,Arts and Humanities,Music and Art,"Crowdfunding, Music production, Social Media, Songwriting, Music recording, Music, Poetry, Audio Production, MIDI, Pro Tools, Music business, Marketing, ",4.7,Coursera
Algorithms Specialization,https://www.coursera.org/specializations/algorithms,Computer Science,Algorithms,"Algorithms, Dynamic Programming, Greedy Algorithm, Divide And Conquer Algorithms, Randomized Algorithm, Sorting Algorithm, Graphs, Data Structure, Hash Table, Spanning Tree, Np-Completeness, ",4.8,Coursera
"Influencing: Storytelling, Change Management and Governance Specialization",https://www.coursera.org/specializations/influencing-storytelling-change-management,Business,Leadership and Management,"Change Management, Communication, Negotiation, Risk governance, ",4.7,Coursera
Applied Data Science with R Specialization,https://www.coursera.org/specializations/applied-data-science-r,Data Science,Data Analysis,"Shiny Dashboards, Data Analysis and Modelling, R Programmin Language, Data Visualization (DataViz), SQL & RDBMS, Data Science, R Programming, Select (Sql), Relational Databases (RDBMS), Data Analysis, Statistical Analysis, Linear Regression, ",4.5,Coursera
Geographic Information Systems  (GIS) Specialization,https://www.coursera.org/specializations/gis,Data Science,Data Analysis,"Geographic Information System (GIS), Satellite, Imagery Analysis, Model Building, spatial visualization, Spatial Analysis, Data Analysis, Data Visualization (DataViz), Software, Analytics, Workflow, Data Management, ",4.8,Coursera
